,Rm,Rf,Rm - Rf,s/h,s/n,s/l,b/h,b/n,b/l,SMB,HML,s/lo,s/wi,b/lo,b/wi,MOM,s/w,s/m,s/r,b/w,b/m,b/r,RMW,SMBop,s/c,s/n,s/a,b/c,b/n,b/a,CMA,SMBinv,SMBff5
2017-07-01,0.019348826001101882,0.00984,0.009508826001101882,-0.006823294629095751,0.03750662583738296,0.048004041788212645,0.03485274428002884,0.033627397892880356,0.06084436047597378,-0.01687904321746103,-0.040409476306626675,0.007443232177408345,0.029239148078113078,0.06084436047597378,0.03485274428002884,-0.002097850147620102,0.0012591070662660085,0.0464292899737791,0.027567182057840853,0.06102087846637502,0.03908597203803875,0.02711820055017751,-0.0037973014623113345,-0.017323157318901772,0.007202301344869937,0.02935491620430439,0.04526542838312498,0.001346734478796066,0.041721551873089915,0.08314308015076254,-0.05992973635511076,-0.014796240190116407,-0.01633281357549307
2017-08-01,0.000546433019853243,0.00906,-0.008513566980146757,0.057953305643048306,0.03356388639276508,0.008136832431319308,0.0013164024890054927,0.031166928852951643,0.006897551889173574,0.02009104707866733,0.022117661905780454,0.050110467744849986,0.05153853787985282,0.006897551889173574,0.0013164024890054927,-0.0020765396325826274,0.04110927913840794,0.054793452465372525,-0.004413924856881413,0.012839063864987463,0.01006888464685095,0.0245875671062541,-0.01688735037701136,0.014664430376268849,0.03524810380983456,0.0293522619696922,0.036673514234941654,-0.0018379507288905062,0.0338879147248195,0.006284386207560231,-0.004773873680778914,0.020979843270326398,0.01857844024175419
2017-09-01,0.019302978562167672,0.00954,0.009762978562167672,0.02944275388847963,0.03562667734116112,0.04043221060427563,0.004210522552894182,0.04299561409316452,-0.02126004738456701,0.026518517524141562,0.007240556610832593,0.034005811904694844,0.04702474592795606,-0.02126004738456701,0.004210522552894182,0.019244751980361206,0.035808124646705915,0.023712106353481796,0.05056393813668226,0.0004796091826207054,0.024332681338906273,0.008311849799294814,0.011294027053325228,0.025653342938682724,0.08487246945270724,0.019590649421368567,0.007206226005914627,0.02924987426487039,0.01514271479179148,-0.007733846217719007,0.057324981964691005,0.02500353401368252,0.02572513149216894
2017-10-01,0.02218813506615125,0.01012,0.012068135066151248,0.04563451396863933,0.07641306640189217,0.03436138491838773,0.009908560136490654,0.033822254598696325,0.03801849297047025,0.024886552527754006,-0.008418401891863991,0.028293877712331272,0.10383970451317862,0.03801849297047025,0.009908560136490654,0.023717946983433873,0.03973317950329114,0.09263861458708389,0.017796575742701232,0.03450542249373867,0.030408661195547526,0.01814814455604364,-0.019146940849142466,0.02236871386258215,0.023521764160219963,0.04750419250292717,0.09650180627922016,0.0007732459848352682,0.04921747178505228,0.025837352556402002,-0.04902207434528347,0.030566564205359237,0.02594061019856513
2017-11-01,0.028082627806563343,0.01131,0.016772627806563342,0.046111058020749204,0.05147264747007158,0.09617330503160525,0.04471235082524854,0.015060142347555872,-0.01571760071817954,0.04990070602260039,0.005183852266286017,0.027345455074724617,0.13795257136944913,-0.01571760071817954,0.04471235082524854,0.0855185339190763,0.082500734102625,0.027575810778217094,0.09287155667691258,-0.002596485497704859,0.029642921382691083,0.011399695402278955,0.012183501737135692,0.05483399009016317,0.12851769508984434,0.02813216782495674,0.04608425516343833,0.05612243213457639,0.004646727501399032,-0.012709107625136381,0.0756324898430594,0.05155802202246679,0.05209757271174345
2017-12-01,0.009831630594270502,0.01256,-0.002728369405729498,0.013317746576313948,0.005633838680621105,-0.034250509845260776,0.01947937966345259,0.0059921910329388045,0.008724551047386538,-0.016498348777367885,0.029161542518820388,0.0001419007880545301,-0.02193519719272001,0.008724551047386538,0.01947937966345259,-0.005661134682354244,-0.022243635092958416,-0.022186391866913076,0.0398311910436743,0.008166465711179311,0.010908188325718438,0.013230699517349556,0.03356952997140148,-0.012301396490148164,-0.009554986317277999,-0.004677784414547618,0.0028998550262570974,0.011671968331716602,0.0021849469648457303,0.02180353108878986,-0.011293202050304176,-0.015664454030306904,-0.014821399765940985
2018-01-01,0.05617870412552817,0.01385,0.042328704125528166,0.0622237965446406,0.0796717120999446,0.11434686429246499,0.07559247681689542,0.0696655673678255,0.11542217874022745,-0.0014792833292993773,-0.04597638483557821,0.0356050172306211,0.1031234557432302,0.11542217874022745,0.07559247681689542,0.013844368294638545,0.09488435705595824,0.08660931869086651,0.07208038696294779,0.11413867843225642,0.08999137553334753,0.04873255043414362,-0.044105049045561624,0.0002371527700082976,0.0380613411058545,0.10292216518334105,0.10631638469270219,0.03551563903239771,0.0938961440633943,0.12194898725393759,-0.07734419590419378,-0.001353626455943946,-0.0008652523384116753
2018-02-01,-0.0389473718793677,0.01515,-0.054097371879367695,-0.029176288910722548,-0.014359599313472792,0.023996543167494215,-0.04106740532878625,-0.017515911127685486,-0.012079389137963496,0.017041120179244702,-0.04108042413451976,-0.05094643036726266,0.04100854213881836,-0.012079389137963496,-0.04106740532878625,0.03148347815762913,0.03183501787081385,-0.028245035911943075,-0.017788774477698718,-0.02274391135360021,-0.007005360750867853,-0.04495595286566626,-0.03591791693028931,0.020168810817102128,0.01888768856048156,-0.033374050145618825,0.0022602668484923085,-0.03637982221842236,-0.002709911395895085,-0.037267587261575634,0.008757593377571262,0.021377075379749377,0.019529002125365402
2018-03-01,-0.02688449860055664,0.01622,-0.04310449860055664,0.014669723301469241,0.0074901106206308925,0.030080231939759148,-0.04782516192092578,-0.02670120603928193,-0.017552842536622575,0.04810642545289652,-0.022841414011296555,-0.007382051950350303,0.07683688454779107,-0.017552842536622575,-0.04782516192092578,0.026973308556919085,0.04568137092184489,0.011554264423583526,-0.006558705561627845,-0.060666230617265754,-0.023350809012151016,-0.00935078510861771,-0.0004623154874123462,0.048014918173945015,0.017054138311765072,0.00783763173547999,0.027214633847364562,-0.021907529384396322,-0.018873687949968694,-0.05430857704297036,0.011120276061487274,0.049065399423981665,0.04839558101694106
2018-04-01,0.0027187749953683227,0.01621,-0.013491225004631676,0.012422122194275128,0.0050623981340536745,-0.0018047039481695359,-0.049389060705100137,-0.012443139031418249,0.01740760369871345,0.0200348041393214,-0.026284919130684464,0.0077429432638135625,-0.0025222485633124526,0.01740760369871345,-0.049389060705100137,-0.0385309281154698,0.026389234076295138,-0.010453889531023589,0.0057122747829943575,-0.04165834858408023,-0.0005030504602535316,-0.006855538751611447,0.007062925269584003,0.02355485237473704,0.023076891966430976,-0.0025575746428048284,-0.001908742183136687,-0.02428925739037333,-0.012715441006267592,-0.007315166112375806,0.0040057714357850695,0.020976813216502063,0.0215221565768535
